"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"logstash-telecom-coreswitch-syslog-2021.08.12","233127","203","0","0",,,"NOTHING"
"shrink-logstash-telecom-firepower-syslog-ilm-2021.07.21-000117","53132643808","83583438","0","0",,,"NOTHING"
"magento-aws-customer_log-prod-ilm-2021.08.11-000040","613735129","639943","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.15","326754","218","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.14","233716","210","0","0",,,"NOTHING"
"shrink-mjo2-winlogbeat-7.13.1-2021.08.19-000233","65599806030","42885276","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.17","226444","216","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.16","200984","202","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.19","274242","203","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.18","240142","224","0","0",,,"NOTHING"
"shrink-um05-logstash-telecom-cisco_acs-syslog-ilm-2021.08.31-000043","24063036","45211","0","0",,,"NOTHING"
".monitoring-alerts-7","166033","232","0","0",,,"NOTHING"
"prc_audit_log_prod-ilm-2021.08.11-000040","1704648135","2570273","0","0",,,"NOTHING"
"metricbeat-7.13.4-2021.08.12-000004","54250979242","67891475","0","0",,,"NOTHING"
"shrink-metricbeat-linux-2021.05.06-000038","416","0","0","0",,,"NOTHING"
".kibana-event-log-7.10.0-000008","416","0","0","0",,,"NOTHING"
".kibana-event-log-7.10.0-000009","416","0","0","0",,,"NOTHING"
".kibana-event-log-7.10.0-000007","416","0","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.02","279954","221","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.01","231462","192","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.04","222772","201","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.03","290034","214","0","0",,,"NOTHING"
